产品开发新增类型必须在此文件注册占号，否则一旦重复概不负责,,
请保持阵型 一行一个 ,,
编号切勿重复 产品开发使用59999以下的数字 60000以上留给客开 建议留白 一次占用50-100个,,
编号,英文名称,备注 
101,Coll_New,协同_新建协同
102,Coll_Transmit,协同_转发协同
103,Coll_Repeal,协同_撤销协同
104,Coll_Pigeonhole,协同_归档协同
105,Coll_Delete,协同_删除
106,Coll_Repeat_Auto_Skip,协同-重复自动跳过
151,Coll_Template_Create,协同模板增删改  
154,Coll_FlowPrem_Create,协同节点权限 
156,Coll_Flow_Modify,协同修改流程
159,Coll_Step_Back,协同回退 
160,Coll_TempleteAuthorize,授权变更
161,Coll_TempleteMove,模板的运动
162,Coll_Flow_Node_DeadLine_2_POPLE,流程节点超期转指定人
163,Coll_Flow_Node_RunCase_AutoSys,流程节点超期系统自动跳过
164,Coll_Content_Edit_LoadNewFile,协同修改正文的时候重新导入了文件
165,Coll_Workflow_Replace_Node,协同批量替换节点
166,Coll_Direct_Submission,协同指定回退  直接提交给我
167,Coll_Process_To_Follow,协同指定回退 流程重走
201,Form_New,表单_新建表单
202,Form_Edit,表单_修改表单
203,Form_Publish,表单_发布表单
204,Form_Start,表单_启用表单
205,Form_Stop,表单_停用表单
206,Form_EditAuth,表单_修改表单所属人
211,Biz_New,业务生成器_新建
212,Biz_Edit,业务生成器_修改
213,Biz_Delete,业务生成器_删除
214,Biz_Auth,业务生成器_权限
215,Biz_Import,业务生成器_导入
216,Biz_Export,业务生成器_导出
261,Form_ChangeAuth,表单流程模板的授权与变更
262,Form_ChangeQueryAuth,表单查询模板的授权与变更
263,Form_ChangeReportAuth,表单统计模板的授权与变更
271,Form_ImportPak,导入pak包 
272,Form_ExportPak,导出pak包 
273,Form_Delete,删除表单
274,Form_Workflow_Replace_Node,表单批量替换节点
301,Edoc_Send,拟文
302,Edoc_RegEdoc,登记公文
303,Edoc_Cacel,撤销公文
304,Edoc_Forward,转发公文
305,Edoc_PingHole,归档公文
306,Edoc_update,修改公文(发文)
307,Edoc_delete ,删除公文(发文)
308,Edoc_send_distribute,分发公文(发文)
309,Edoc_receive_distribute,分发公文(收文)
311,Edoc_Delete_Send, 删除发文
312,Edoc_Delete_Rec, 删除收文
313,Edoc_Delete_Sign, 删除签报
314,Edoc_forword_send, 转发文
321,Edoc_Send_Exchange,发送公文（公文交换)
322,Edoc_Sing_Exchange,签收公文（公文交换）
323,Edoc_RepSend_Exchange,补发公文
325,Edoc_Sign_Record_Del,删除公文交换记录（已签收）
326,Edoc_Sended_Record_Del,删除公文交换记录（已发送）
327,Edoc_SingReturn_Exchange,签收回退(公文交换)
328,Edoc_RegEdoc_Delete, 删除登记
328,Edoc_pigeonhole_update,公文归档后修改
329,Edoc_pigeonhole_send_File_update,归档后修改公文发文附件
330,Edoc_pigeonhole_send_Content_update,归档后修改公文发文正文
331,Edoc_pigeonhole_send_Form_update,归档后修改公文发文文单
332,Edoc_pigeonhole_sign_File_update,归档后修改公文签报附件
333,Edoc_pigeonhole_sign_Content_update,归档后修改公文签报正文
334,Edoc_pigeonhole_sign_Form_update,归档后修改公文签报文单
335,Edoc_PreSign_Record_Del,删除公文交换记录（待签收）
336,Edoc_PreSend_Record_Del,删除公文交换记录（待发送）
337,Edoc_RegEdoc_WAIT_STEPBACK,待登记-回退
338,Edoc_RegEdoc_DRAFT_STEPBACK,登记待发-回退
339,Edoc_DISTRIBUTE_STEPBACK,待分发-回退
340,Edoc_DISTRIBUTE_DRAFT_STEPBACK,分发待发-回退
341,Edoc_RegEdoc_A8_DRAFT_STEPBACK,待发-回退
361,Edoc_TempleteAuthorize,公文模板的授权与变更
362,Edoc_FlowPermModify,公文节点权限变更与自定义
363,Edoc_MarkAuthorize,公文文号授权与变更
364,Edoc_DocTempleteAuthorize,套红模板授权与变更
365,Edoc_SendSetAuthorize,公文发起权授权与变更
366,Edoc_OpenSetAuthorize,公文开关设置变更
367,Edoc_FlowPrem_Create,公文节点权限新建
368,Edoc_Mark_Create,新建公文文号
370,Edoc_DocTempleteCreate,套红模板授权与变更
371,Edoc_Templete_Create,公文模板的创建 
372,Edoc_Templete_Delete,公文模板的删除 
373,Edoc_Templete_Update,公文模板的修改 
374,Edoc_Templete_Stop,公文模板的停用 
375,Edoc_Templete_Start,公文模板的启用 
376,Edoc_FlowPerm_Delete,公文节点权限的删除 
377,Edoc_Mark_Delete,公文文号的删除 
378,Edoc_Form_Crete,公文单的创建 
379,Edoc_Form_Delete,公文单的删除 
380,Edoc_Form_Update,公文单的修改 
381,Edoc_Form_Authorize,公文单授权信息的修改 
382,Edoc_Form_SetDefault,公文单被设置为默认 
383,Edoc_DocTemplete_Delete,公文套红模板的删除 
384,Edoc_Element_Update,公文元素的修改 
385,Edoc_Element_Stop,公文元素的停用 
386,Edoc_Element_Start,公文元素的启用 
